ID,Nombre,Estado,Longitud,Latitud
NA,Sabana Iglesia,Malo,-70.74618506375215,19.314128499975514
NA,El Puente,Malo,-70.7656335779899,19.452182991386568
NA,Guanajuma,Malo,-70.74535388046702,19.28107601581934
NA,Jamamú,Malo,-70.93343700904038,19.1944037142049
NA,Jamamú,Malo,-70.93343700904038,19.1944037142049
NA,Casa de Máquina,Malo,-70.59786755205846,19.098921333116557
NA,Hato Viejo,Malo,-70.63414411178962,19.134741653360464
NA,Pinalito,Malo,-70.75896717093461,19.295237309294677
NA,Potrero,Malo,-70.9600807978597,19.46968770987457
NA,Paso de la Perra,Malo,-70.8396646903739,19.07752170095255
NA,Pinar Quemado,Malo,-70.6651342741263,19.095018731147203
NA,Los Velazquitos,Malo,-70.67757099195002,19.212738081916047
NA,Tavera,Malo,-70.71535039520718,19.2613499232226
NA,Baitoa,Malo,-70.7089612734424,19.32773984164023
NA,Baitoa,Malo,-70.7089612734424,19.32773984164023
NA,López,Malo,-70.71118359328536,19.3341288282092
NA,López,Malo,-70.71118359328536,19.3341288282092
NA,Las Charcas,Malo,-70.71396153104472,19.408574424398907
NA,Pte. Viejo Santiago,Malo,-70.71173922743638,19.431074774576242
NA,Pte. Viejo Santiago,Malo,-70.71173922743638,19.431074774576242
NA,Santiago,Malo,-70.7031277572589,19.44135271653682
NA,Santiago,Malo,-70.7031277572589,19.44135271653682
NA,Hato Yaque,Malo,-70.79618729482503,19.50579811113829
NA,Cañeo,Malo,-70.98313968903487,19.54246523622112
NA,Jicome,Malo,-71.14731337596294,19.62496641261221
NA,La Caña,Malo,-71.52538496583806,19.62246608455672
NA,Dique Juan Gómez,Malo,-71.41704709221432,19.68913387953304
42102,El Higuero,Malo,-70.83769486277758,19.247946963418563
NA,Redondo,Regular,-70.58389428770657,19.028633159140007
42005,Aguas Caliente,Regular,-70.89813589744726,19.24523846060087
183101,Pinalito,Regular,-70.75896717093461,19.295237309294677
43001,Inoa,Regular,-70.98299853596488,19.35221660001345
NA,Paso de la Palma,Regular,-71.51603956258829,19.574552486498472
NA,Los Pilones,Regular,-70.77351841183253,19.25578956385491
42202,El Cerrazo,Regular,-70.72709960791924,19.235924943015227
491005,Palomino,Bueno,-70.96943944153779,18.805121456331573
493006,Paso de Lima,Bueno,-71.29825708139882,19.024721732838668
493802,Vallejuelo,Bueno,-71.31720633654864,18.65660452271541
NA,La Meseta,Bueno,NA,NA
NA,Cucurucho,Bueno,NA,NA
493601,Hato Viejo,Malo,-71.25538234307757,18.797069642927898
NA,Rosario,Malo,NA,NA
NA,Naranjal,Malo,NA,NA
NA,Palo Alto,Malo,-71.17364488520474,18.299279053326956
NA,Conuquito,Malo,-71.15147937400539,18.41161449238778
NA,El Rodeo,Malo,-71.26759778150804,19.005510135225215
NA,La Coja,Malo,-70.81868326176988,18.768563547207272
NA,La Guama,Malo,-70.81296183568962,18.725715164594423
NA,Naranjal,Malo,NA,NA
493201,El Cacheo,Regular,NA,NA
NA,Los Guiros,Regular,-71.0009467331279,18.510579755610213
NA,Cañafistol,Regular,NA,NA
NA,El Cacheo,Regular,-71.11518734365364,18.813850646724166
NA,Paso de Lima,Regular,-71.29825708139882,19.024721732838668
100003,Yásica Arriba,Bueno,-70.5932669098313,19.633654801899223
NA,Palma Herrera,Malo,-70.41089320322908,19.554687954273167
NA,Sonador,Malo,-70.53943259285978,19.598699062827677
101001,Jamao,Malo,-70.44827536963665,19.631709102508676
100002,Los Brazos,Malo,-70.43089025135968,19.66052479983721
185502,Santa Ana,Bueno,-70.37064181444197,19.25907223702579
120002,Yuna,Bueno,-70.2527770996094,18.9472217559814
181101,Los Arroces,Bueno,-70.16638246406247,18.978662570917727
NA,Blanco (Presa),Malo,-70.5213851928711,18.8827781677246
183001,El Torito,Malo,-70.45589840900307,18.75633624787512
NA,Los Plátanos,Malo,-70.31889900921068,18.786322022652474
NA,Blanco,Malo,-70.52145928951403,18.883004576435578
NA,Rodeo,Malo,-70.56839985801015,18.884394476096173
NA,Tireo,Malo,-70.63285326332577,18.91912073980787
NA,Los Guázaros,Malo,-70.52646187566172,18.85578551510011
NA,Tireo,Malo,-70.56839985801015,18.884394476096173
NA,El Pino de Yuna,Malo,-70.45617790809096,18.795503283923807
