Nombre,Estado,entidad,tipo,propiedad,Longtiud,Latitud
Sabana de la Mar,regular,INDRHI,meteoclimática,pública,-69.38908380573595,19.046048572893334
Medina,activa o bueno,INDRHI,meteoclimática,pública,-70.14449578241941,18.53522538174953
Cítricos Dominicanos,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.24028287715183,18.738968655886385
Engombe,regular,INDRHI,meteoclimática,pública,-70.00193613481875,18.449405900703745
Hato Mayor,inactiva o no reportada,INDRHI,meteoclimática,pública,-69.25001375941893,18.750231756555962
La Guama,inactiva o no reportada,INDRHI,meteoclimática,pública,-68.6611922182135,18.80965096489676
Palo de Caja,regular,INDRHI,meteoclimática,pública,-70.40005921817928,18.53078456626454
Presa Jiguez,regular,INDRHI,meteoclimática,pública,-70.38255477500685,18.533280892289596
Valdesia,regular,INDRHI,meteoclimática,pública,-70.28060826119095,18.408556380785992
Comate,inactiva o no reportada,INDRHI,meteoclimática,pública,-69.61663754140255,18.74567728920396
Pueblo Nuevo,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.17476823303743,18.43994688103648
Triple Ozama,inactiva o no reportada,INDRHI,meteoclimática,pública,-69.94047432826501,18.810299603448723
Santana,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.21687211628483,18.278982686240237
Los Jengibres,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.04726537519694,19.439131975441484
Higuey,inactiva o no reportada,INDRHI,meteoclimática,pública,-68.69901486945056,18.619920691109762
El Memiso,activa o bueno,INDRHI,meteoclimática,pública,-70.5715854525037,18.51421112837407
Los Arroyos,activa o bueno,INDRHI,meteoclimática,pública,-70.52915657657742,18.641959710675867
Naranjal,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.47711910770818,18.54298342692382
Trepada Alta,inactiva o no reportada,INDRHI,meteoclimática,pública,-69.45929516993382,18.97636220036805
El Seibo,inactiva o no reportada,INDRHI,meteoclimática,pública,-69.04444172224544,18.76550491697898
Jarabacoa,activa o bueno,INDRHI,meteoclimática,pública,-70.63896264645372,19.13079580131121
La Antona,activa o bueno,INDRHI,meteoclimática,pública,-71.40288117704489,19.633577623646143
Matagrande,activa o bueno,INDRHI,meteoclimática,pública,-70.9875835346401,19.20856694019724
Boca de Mao,inactiva o no reportada,INDRHI,meteoclimática,pública,-71.05147222898223,19.588295085992026
El Arroyaso,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.5322878740488,19.044961152762482
El Naranjito,inactiva o no reportada,INDRHI,meteoclimática,pública,-71.34350571674072,19.4744178960747
Isa,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.74591128484296,19.446077301817336
Quinigua,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.7736824569074,19.526633403382167
Tavera,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.7181322217205,19.283574561551113
Constanza,activa o bueno,INDRHI,meteoclimática,pública,-70.71674292267141,18.91134403889928
Vallejuelo,activa o bueno,INDRHI,meteoclimática,pública,-71.3394896426794,18.657737244696943
Km 11 Carretera Sánchez,inactiva o no reportada,INDRHI,meteoclimática,pública,-71.15053394206662,18.758129413909792
Peñón Barahona,inactiva o no reportada,INDRHI,meteoclimática,pública,-71.18721980333125,18.296621890081752
Angelina,activa o bueno,INDRHI,meteoclimática,pública,-70.22229242140132,19.13080257168733
Juma-Bonao,activa o bueno,INDRHI,meteoclimática,pública,-70.38617657837254,18.900227161264947
Barraquito,inactiva o no reportada,INDRHI,meteoclimática,pública,-69.78891402846091,19.128988146604037
El Aguacate,inactiva o no reportada,INDRHI,meteoclimática,pública,-69.75948524268016,19.172200000553936
Los Botados,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.57673917826233,18.870780355241696
Blanco (Presa),regular,INDRHI,meteoclimática,pública,-70.5581200063964,18.887453468963802
Cenovi en Santa Ana,regular,INDRHI,meteoclimática,pública,-70.34795688447832,19.294668835655777
El Limón,regular,INDRHI,meteoclimática,pública,-69.81944803642743,19.153010068927664
José Contreras,regular,INDRHI,meteoclimática,pública,-70.45006319344644,19.46690749161006
Presa Hatillo,regular,INDRHI,meteoclimática,pública,-70.252830819442,18.94744770116959
Batey Excabacion,inactiva o no reportada,INDRHI,hidrométrica,pública,-69.40146699345563,18.630605745336812
Puerto Escondido,activa o bueno,INDRHI,hidrométrica,pública,-71.58066169823489,18.32453801331089
El Millo,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.34921893576211,18.547154672665815
Anamuya,inactiva o no reportada,INDRHI,hidrométrica,pública,-68.64482425032722,18.69946799956868
Rinconcito,activa o bueno,INDRHI,hidrométrica,pública,-71.76761685314638,18.958011182406654
Sonador,activa o bueno,INDRHI,hidrométrica,pública,-71.57686691521135,18.70537338791263
Puertecito,activa o bueno,INDRHI,hidrométrica,pública,-71.50987389141285,18.800927705408977
Cajuilito,activa o bueno,INDRHI,hidrométrica,pública,-71.59966095396388,19.082628097317198
Ranchitos,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.61729335648299,18.932459010752375
Pozo Hondo,regular,INDRHI,hidrométrica,pública,-71.4859082967421,19.01004562156182
Pedro Santana,regular,INDRHI,hidrométrica,pública,-71.69024165697554,19.102565370666326
El Estrecho,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.94146676515459,19.805527752670155
Imbert,regular,INDRHI,hidrométrica,pública,-70.8271353991782,19.29927437838986
El Recodo,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.3394455100412,18.373614116647623
Los Jengibres,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.04241863614133,19.44385864385017
La Pinta,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.55149720296004,19.64413306684839
Manabao,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.78759847016742,19.076995110351326
La Espensa,regular,INDRHI,hidrométrica,pública,-71.55427504170541,19.57802092382919
Santa Lucía,inactiva o no reportada,INDRHI,hidrométrica,pública,-68.93689792158581,18.68206120192965
El Mamey,activa o bueno,INDRHI,hidrométrica,pública,-68.75111099993157,18.668783707527485
Los Corozos,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.12344249298785,18.524661277242902
Don Miguel,activa o bueno,INDRHI,hidrométrica,pública,-71.68350609097438,19.493654217717822
Carbonera,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.69400319809785,19.590520996208078
La Aduana,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.7114139807028,19.548470107984375
Cinta Negra,inactiva o no reportada,INDRHI,hidrométrica,pública,-69.9634334850834,19.280349224766567
Villa Nizao,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.18575718417328,18.016619756320054
Bocaina,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.47315840726453,18.672802729541132
Jiguey,regular,INDRHI,hidrométrica,pública,-70.37744652745693,18.5459867213011
Aguacate,regular,INDRHI,hidrométrica,pública,-70.32148898005994,18.49588321934627
El Salto,activa o bueno,INDRHI,hidrométrica,pública,-69.60801088451876,18.83987606963797
El Higuero,inactiva o no reportada,INDRHI,hidrométrica,pública,-69.9993279320649,18.61657764736889
Don Juan,inactiva o no reportada,INDRHI,hidrométrica,pública,-69.9510041330953,18.818117346559127
Los Hidalgos,inactiva o no reportada,INDRHI,hidrométrica,pública,-69.66439581491538,18.877134295125604
El Cacique,regular,INDRHI,hidrométrica,pública,-69.86123436367022,18.81733346707351
Valle de Samaná,inactiva o no reportada,INDRHI,hidrométrica,pública,-69.33747363077691,19.26322872009464
San Rafael I,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.1378689721097,18.02910602342581
San Rafael II,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.14120435378965,18.03241151302977
